"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20260720_20260819.csv"
"C","Report for: 07/20/2026 - 08/19/2026"
"C","Report generated: 08/20/2026 10:38:14 EDT"
"H","Date","Hour Ending","Total Load"
"D","07/24/2026","09",11480.15
"D","07/24/2026","10",11466.98
"D","07/24/2026","11",11353.78
"D","07/24/2026","12",11365.85
"D","07/24/2026","13",11645.11
"D","07/24/2026","14",12109.31
"D","07/24/2026","15",12544.67
"D","07/24/2026","16",13532.38
"D","07/24/2026","17",14843.24
"D","07/24/2026","18",16139.5
"D","07/24/2026","19",16876.9
"D","07/24/2026","20",16785.91
"D","07/24/2026","21",16353.02
"D","07/24/2026","22",15637.28
"D","07/24/2026","23",14498.49
"D","07/24/2026","24",13266.8
"D","07/25/2026","01",12270.76
"D","07/25/2026","02",11507.8
"D","07/25/2026","03",11376.63
"D","07/25/2026","04",11442.5
"D","07/25/2026","05",11353.49
"D","07/25/2026","06",11652.15
"D","07/25/2026","07",11458.15
"D","07/25/2026","08",11087.18
"D","07/25/2026","09",10553.23
"D","07/25/2026","10",10391.12
"D","07/25/2026","11",9943.43
"D","07/25/2026","12",10172.27
"D","07/25/2026","13",10465.97
"D","07/25/2026","14",10913.19
"D","07/25/2026","15",11192.51
"D","07/25/2026","16",11789.4
"D","07/25/2026","17",13086.97
"D","07/25/2026","18",14526.44
"D","07/25/2026","19",15548.88
"D","07/25/2026","20",15540.79
"D","07/25/2026","21",15155.33
"D","07/25/2026","22",14487.99
"D","07/25/2026","23",13478.39
"D","07/25/2026","24",12391.55
"D","07/26/2026","01",11552.16
"D","07/26/2026","02",10879.58
"D","07/26/2026","03",10413.71
"D","07/26/2026","04",10340.48
"D","07/26/2026","05",10232.32
"D","07/26/2026","06",10243.31
"D","07/26/2026","07",10427.68
"D","07/26/2026","08",10300.62
"D","07/26/2026","09",9993.47
"D","07/26/2026","10",9990.98
"D","07/26/2026","11",9780.47
"D","07/26/2026","12",9905.61
"D","07/26/2026","13",10056.58
"D","07/26/2026","14",10588.72
"D","07/26/2026","15",10958.82
"D","07/26/2026","16",11616.12
"D","07/26/2026","17",12952.26
"D","07/26/2026","18",14517.71
"D","07/26/2026","19",15562.5
"D","07/26/2026","20",15742.52
"D","07/26/2026","21",15491.17
"D","07/26/2026","22",14783.3
"D","07/26/2026","23",13676.84
"D","07/26/2026","24",12499.82
"D","07/27/2026","01",11653.64
"D","07/27/2026","02",11871.25
"D","07/27/2026","03",11884.66
"D","07/27/2026","04",11870.11
"D","07/27/2026","05",11980.52
"D","07/27/2026","06",11873.78
"D","07/27/2026","07",11823.58
"D","07/27/2026","08",11972.47
"D","07/27/2026","09",11673.58
"D","07/27/2026","10",11200.65
"D","07/27/2026","11",11058.63
"D","07/27/2026","12",11575.87
"D","07/27/2026","13",12133.47
"D","07/27/2026","14",12844.32
"D","07/27/2026","15",13494.05
"D","07/27/2026","16",14480.62
"D","07/27/2026","17",15834.34
"D","07/27/2026","18",17176.96
"D","07/27/2026","19",18086.85
"D","07/27/2026","20",18057.25
"D","07/27/2026","21",17770.42
"D","07/27/2026","22",16950.53
"D","07/27/2026","23",15661.75
"D","07/27/2026","24",14326.46
"D","07/28/2026","01",13398.26
"D","07/28/2026","02",13411.92
"D","07/28/2026","03",13071.79
"D","07/28/2026","04",12943.3
"D","07/28/2026","05",13088.82
"D","07/28/2026","06",13176.99
"D","07/28/2026","07",13583.58
"D","07/28/2026","08",14258.14
"D","07/28/2026","09",14265.95
"D","07/28/2026","10",14257.78
"D","07/28/2026","11",14297.77
"D","07/28/2026","12",14571.15
"D","07/28/2026","13",15063.03
"D","07/28/2026","14",15886.6
"D","07/28/2026","15",16621.68
"D","07/28/2026","16",17095.24
"D","07/28/2026","17",17465.9
"D","07/28/2026","18",18025.66
"D","07/28/2026","19",18166.51
"D","07/28/2026","20",17975.11
"D","07/28/2026","21",17732.37
"D","07/28/2026","22",17005.03
"D","07/28/2026","23",15793.82
"D","07/28/2026","24",14559.11
"D","07/29/2026","01",13651.83
"D","07/29/2026","02",13837.44
"D","07/29/2026","03",13509.48
"D","07/29/2026","04",13488.38
"D","07/29/2026","05",13558.02
"D","07/29/2026","06",13860.12
"D","07/29/2026","07",14063.37
"D","07/29/2026","08",14820.57
"D","07/29/2026","09",15143.96
"D","07/29/2026","10",15374.96
"D","07/29/2026","11",15436.93
"D","07/29/2026","12",15306.48
"D","07/29/2026","13",15202.8
"D","07/29/2026","14",15267.0
"D","07/29/2026","15",15258.57
"D","07/29/2026","16",15518.1
"D","07/29/2026","17",16058.85
"D","07/29/2026","18",16524.42
"D","07/29/2026","19",16547.17
"D","07/29/2026","20",16362.63
"D","07/29/2026","21",16076.92
"D","07/29/2026","22",15467.67
"D","07/29/2026","23",14451.96
"D","07/29/2026","24",13629.3
"D","07/30/2026","01",12675.67
"D","07/30/2026","02",12652.46
"D","07/30/2026","03",12689.22
"D","07/30/2026","04",12682.74
"D","07/30/2026","05",12797.67
"D","07/30/2026","06",12972.59
"D","07/30/2026","07",13048.36
"D","07/30/2026","08",13711.61
"D","07/30/2026","09",14101.69
"D","07/30/2026","10",14192.2
"D","07/30/2026","11",14373.83
"D","07/30/2026","12",14354.55
"D","07/30/2026","13",14000.43
"D","07/30/2026","14",14081.9
"D","07/30/2026","15",14231.47
"D","07/30/2026","16",14624.79
"D","07/30/2026","17",15000.92
"D","07/30/2026","18",15626.98
"D","07/30/2026","19",15950.76
"D","07/30/2026","20",15989.52
"D","07/30/2026","21",15903.48
"D","07/30/2026","22",15313.3
"D","07/30/2026","23",14278.03
"D","07/30/2026","24",13176.4
"D","07/31/2026","01",12362.17
"D","07/31/2026","02",12287.96
"D","07/31/2026","03",12013.83
"D","07/31/2026","04",12011.61
"D","07/31/2026","05",12122.24
"D","07/31/2026","06",12312.16
"D","07/31/2026","07",12419.11
"D","07/31/2026","08",12719.72
"D","07/31/2026","09",12887.35
"D","07/31/2026","10",12674.27
"D","07/31/2026","11",12491.9
"D","07/31/2026","12",13017.78
"D","07/31/2026","13",13705.73
"D","07/31/2026","14",14117.06
"D","07/31/2026","15",14517.3
"D","07/31/2026","16",15016.25
"D","07/31/2026","17",15892.32
"D","07/31/2026","18",16927.74
"D","07/31/2026","19",17435.42
"D","07/31/2026","20",17442.59
"D","07/31/2026","21",17253.38
"D","07/31/2026","22",16585.69
"D","07/31/2026","23",15464.09
"D","07/31/2026","24",14287.24
"D","08/01/2026","01",13501.22
"D","08/01/2026","02",12933.06
"D","08/01/2026","03",12639.0
"D","08/01/2026","04",12530.06
"D","08/01/2026","05",12414.84
"D","08/01/2026","06",12741.29
"D","08/01/2026","07",12780.86
"D","08/01/2026","08",12931.97
"D","08/01/2026","09",12921.7
"D","08/01/2026","10",12627.55
"D","08/01/2026","11",12684.77
"D","08/01/2026","12",13093.74
"D","08/01/2026","13",13943.3
"D","08/01/2026","14",14680.47
"D","08/01/2026","15",15269.49
"D","08/01/2026","16",15887.41
"D","08/01/2026","17",17040.98
"D","08/01/2026","18",18285.06
"D","08/01/2026","19",18689.92
"D","08/01/2026","20",18484.9
"D","08/01/2026","21",18311.69
"D","08/01/2026","22",17593.61
"D","08/01/2026","23",16534.88
"D","08/01/2026","24",15381.94
"D","08/02/2026","01",14475.78
"D","08/02/2026","02",13758.52
"D","08/02/2026","03",13711.67
"D","08/02/2026","04",13615.27
"D","08/02/2026","05",13901.39
"D","08/02/2026","06",14039.09
"D","08/02/2026","07",14089.48
"D","08/02/2026","08",14034.03
"D","08/02/2026","09",14109.18
"D","08/02/2026","10",14109.97
"D","08/02/2026","11",13890.22
"D","08/02/2026","12",14414.23
"D","08/02/2026","13",14859.94
"D","08/02/2026","14",15461.46
"D","08/02/2026","15",16147.66
"D","08/02/2026","16",16936.0
"D","08/02/2026","17",17749.11
"D","08/02/2026","18",18586.36
"D","08/02/2026","19",18959.52
"D","08/02/2026","20",18865.96
"D","08/02/2026","21",18719.66
"D","08/02/2026","22",17918.01
"D","08/02/2026","23",16775.69
"D","08/02/2026","24",15890.32
"D","08/03/2026","01",15114.04
"D","08/03/2026","02",15063.26
"D","08/03/2026","03",14914.24
"D","08/03/2026","04",14748.3
"D","08/03/2026","05",14887.0
"D","08/03/2026","06",15346.85
"D","08/03/2026","07",15758.47
"D","08/03/2026","08",16633.31
"D","08/03/2026","09",17227.15
"D","08/03/2026","10",17472.57
"D","08/03/2026","11",17805.15
"D","08/03/2026","12",17966.85
"D","08/03/2026","13",18257.83
"D","08/03/2026","14",17740.19
"D","08/03/2026","15",17499.06
"D","08/03/2026","16",17432.14
"D","08/03/2026","17",17749.99
"D","08/03/2026","18",18305.1
"D","08/03/2026","19",18720.94
"D","08/03/2026","20",18429.09
"D","08/03/2026","21",18027.23
"D","08/03/2026","22",17093.25
"D","08/03/2026","23",15905.61
"D","08/03/2026","24",14668.84
"D","08/04/2026","01",13161.98
"D","08/04/2026","02",12967.14
"D","08/04/2026","03",12462.3
"D","08/04/2026","04",12144.79
"D","08/04/2026","05",12153.52
"D","08/04/2026","06",12528.03
"D","08/04/2026","07",12768.77
"D","08/04/2026","08",13039.04
"D","08/04/2026","09",12946.12
"D","08/04/2026","10",12747.1
"D","08/04/2026","11",12458.55
"D","08/04/2026","12",12529.48
"D","08/04/2026","13",12943.48
"D","08/04/2026","14",13686.26
"D","08/04/2026","15",14552.53
"D","08/04/2026","16",15725.84
"D","08/04/2026","17",17233.37
"D","08/04/2026","18",18749.23
"D","08/04/2026","19",19587.36
"D","08/04/2026","20",19299.43
"D","08/04/2026","21",18775.99
"D","08/04/2026","22",17720.19
"D","08/04/2026","23",16186.0
"D","08/04/2026","24",14712.68
"D","08/05/2026","01",13820.69
"D","08/05/2026","02",13444.61
"D","08/05/2026","03",13136.88
"D","08/05/2026","04",12814.48
"D","08/05/2026","05",12772.53
"D","08/05/2026","06",12970.14
"D","08/05/2026","07",13053.5
"D","08/05/2026","08",13468.78
"D","08/05/2026","09",13479.13
"D","08/05/2026","10",13519.33
"D","08/05/2026","11",13619.71
"D","08/05/2026","12",13788.78
"D","08/05/2026","13",14314.94
"D","08/05/2026","14",15335.08
"D","08/05/2026","15",15993.92
"D","08/05/2026","16",17158.88
"D","08/05/2026","17",18424.83
"D","08/05/2026","18",19359.78
"D","08/05/2026","19",19789.54
"D","08/05/2026","20",19633.12
"D","08/05/2026","21",19353.69
"D","08/05/2026","22",18505.15
"D","08/05/2026","23",17185.34
"D","08/05/2026","24",15886.16
"D","08/06/2026","01",15309.89
"D","08/06/2026","02",15276.6
"D","08/06/2026","03",15098.14
"D","08/06/2026","04",14899.19
"D","08/06/2026","05",15207.86
"D","08/06/2026","06",15558.3
"D","08/06/2026","07",16011.56
"D","08/06/2026","08",16702.96
"D","08/06/2026","09",17091.69
"D","08/06/2026","10",17203.75
"D","08/06/2026","11",17130.49
"D","08/06/2026","12",17677.95
"D","08/06/2026","13",18159.92
"D","08/06/2026","14",18954.27
"D","08/06/2026","15",19556.14
"D","08/06/2026","16",20676.85
"D","08/06/2026","17",21807.84
"D","08/06/2026","18",22697.54
"D","08/06/2026","19",23321.58
"D","08/06/2026","20",23143.47
"D","08/06/2026","21",22870.25
"D","08/06/2026","22",21710.58
"D","08/06/2026","23",20026.04
"D","08/06/2026","24",18809.71
"D","08/07/2026","01",17726.0
"D","08/07/2026","02",17351.59
"D","08/07/2026","03",16943.31
"D","08/07/2026","04",16759.1
"D","08/07/2026","05",16663.35
"D","08/07/2026","06",16976.95
"D","08/07/2026","07",17171.1
"D","08/07/2026","08",17771.04
"D","08/07/2026","09",18046.44
"D","08/07/2026","10",18162.97
"D","08/07/2026","11",18465.9
"D","08/07/2026","12",18776.16
"D","08/07/2026","13",19120.38
"D","08/07/2026","14",19654.02
"D","08/07/2026","15",20401.49
"D","08/07/2026","16",21376.27
"D","08/07/2026","17",22504.82
"D","08/07/2026","18",23357.75
"D","08/07/2026","19",23677.24
"D","08/07/2026","20",23186.49
"D","08/07/2026","21",22391.94
"D","08/07/2026","22",21057.85
"D","08/07/2026","23",19561.94
"D","08/07/2026","24",18278.48
"D","08/08/2026","01",17101.01
"D","08/08/2026","02",16427.1
"D","08/08/2026","03",15879.46
"D","08/08/2026","04",15796.06
"D","08/08/2026","05",15552.19
"D","08/08/2026","06",15504.21
"D","08/08/2026","07",15569.18
"D","08/08/2026","08",15916.44
"D","08/08/2026","09",16266.64
"D","08/08/2026","10",16310.31
"D","08/08/2026","11",16119.58
"D","08/08/2026","12",16402.06
"D","08/08/2026","13",17003.51
"D","08/08/2026","14",17791.95
"D","08/08/2026","15",18215.92
"D","08/08/2026","16",19094.48
"D","08/08/2026","17",20549.48
"D","08/08/2026","18",21570.23
"D","08/08/2026","19",21551.99
"D","08/08/2026","20",20944.16
"D","08/08/2026","21",20336.31
"D","08/08/2026","22",19191.62
"D","08/08/2026","23",17830.46
"D","08/08/2026","24",16740.96
"D","08/09/2026","01",15486.38
"D","08/09/2026","02",14707.05
"D","08/09/2026","03",14409.36
"D","08/09/2026","04",14214.2
"D","08/09/2026","05",13920.82
"D","08/09/2026","06",13942.38
"D","08/09/2026","07",14149.26
"D","08/09/2026","08",14422.87
"D","08/09/2026","09",14665.35
"D","08/09/2026","10",14846.84
"D","08/09/2026","11",14704.32
"D","08/09/2026","12",15470.22
"D","08/09/2026","13",16333.7
"D","08/09/2026","14",16945.18
"D","08/09/2026","15",17552.97
"D","08/09/2026","16",18451.25
"D","08/09/2026","17",19748.39
"D","08/09/2026","18",20965.84
"D","08/09/2026","19",21484.61
"D","08/09/2026","20",21035.89
"D","08/09/2026","21",20342.51
"D","08/09/2026","22",19118.93
"D","08/09/2026","23",17495.46
"D","08/09/2026","24",15969.96
"D","08/10/2026","01",15025.41
"D","08/10/2026","02",14742.82
"D","08/10/2026","03",14220.68
"D","08/10/2026","04",13812.81
"D","08/10/2026","05",13709.1
"D","08/10/2026","06",14040.36
"D","08/10/2026","07",14004.63
"D","08/10/2026","08",14218.03
"D","08/10/2026","09",14353.37
"D","08/10/2026","10",14212.26
"D","08/10/2026","11",14107.19
"D","08/10/2026","12",14317.33
"D","08/10/2026","13",15113.73
"D","08/10/2026","14",15687.57
"D","08/10/2026","15",16532.97
"D","08/10/2026","16",17844.24
"D","08/10/2026","17",19356.85
"D","08/10/2026","18",20338.5
"D","08/10/2026","19",20658.43
"D","08/10/2026","20",20240.83
"D","08/10/2026","21",19917.56
"D","08/10/2026","22",18809.67
"D","08/10/2026","23",17379.4
"D","08/10/2026","24",16032.66
"D","08/11/2026","01",15220.2
"D","08/11/2026","02",14985.83
"D","08/11/2026","03",14502.82
"D","08/11/2026","04",14447.05
"D","08/11/2026","05",14401.9
"D","08/11/2026","06",14566.9
"D","08/11/2026","07",14648.21
"D","08/11/2026","08",15156.82
"D","08/11/2026","09",14997.63
"D","08/11/2026","10",15045.2
"D","08/11/2026","11",14917.04
"D","08/11/2026","12",15286.19
"D","08/11/2026","13",15823.14
"D","08/11/2026","14",16315.4
"D","08/11/2026","15",17117.47
"D","08/11/2026","16",18067.72
"D","08/11/2026","17",18757.18
"D","08/11/2026","18",19437.1
"D","08/11/2026","19",19970.47
"D","08/11/2026","20",19760.18
"D","08/11/2026","21",19403.76
"D","08/11/2026","22",18220.84
"D","08/11/2026","23",16725.7
"D","08/11/2026","24",15284.05
"D","08/12/2026","01",14211.8
"D","08/12/2026","02",14044.51
"D","08/12/2026","03",13570.58
"D","08/12/2026","04",13468.82
"D","08/12/2026","05",13502.3
"D","08/12/2026","06",13717.24
"D","08/12/2026","07",13927.08
"D","08/12/2026","08",14048.88
"D","08/12/2026","09",13754.27
"D","08/12/2026","10",13800.41
"D","08/12/2026","11",13731.12
"D","08/12/2026","12",14085.27
"D","08/12/2026","13",14459.34
"D","08/12/2026","14",15403.12
"D","08/12/2026","15",16042.22
"D","08/12/2026","16",16949.05
"D","08/12/2026","17",18029.72
"D","08/12/2026","18",19101.08
"D","08/12/2026","19",19361.55
"D","08/12/2026","20",19069.76
"D","08/12/2026","21",18678.1
"D","08/12/2026","22",17652.28
"D","08/12/2026","23",16284.7
"D","08/12/2026","24",14988.69
"D","08/13/2026","01",14087.78
"D","08/13/2026","02",14303.74
"D","08/13/2026","03",14013.52
"D","08/13/2026","04",13742.68
"D","08/13/2026","05",13791.21
"D","08/13/2026","06",14227.99
"D","08/13/2026","07",14397.55
"D","08/13/2026","08",14710.68
"D","08/13/2026","09",14494.15
"D","08/13/2026","10",14108.49
"D","08/13/2026","11",13844.05
"D","08/13/2026","12",14090.6
"D","08/13/2026","13",14801.45
"D","08/13/2026","14",15336.14
"D","08/13/2026","15",15916.56
"D","08/13/2026","16",16702.42
"D","08/13/2026","17",17795.64
"D","08/13/2026","18",18921.9
"D","08/13/2026","19",19270.66
"D","08/13/2026","20",19016.84
"D","08/13/2026","21",18545.18
"D","08/13/2026","22",17492.42
"D","08/13/2026","23",16120.3
"D","08/13/2026","24",14752.66
"D","08/14/2026","01",13850.24
"D","08/14/2026","02",13655.74
"D","08/14/2026","03",13299.27
"D","08/14/2026","04",13222.05
"D","08/14/2026","05",13196.62
"D","08/14/2026","06",13352.66
"D","08/14/2026","07",13172.88
"D","08/14/2026","08",13280.02
"D","08/14/2026","09",13151.36
"D","08/14/2026","10",12611.42
"D","08/14/2026","11",12427.8
"D","08/14/2026","12",12660.96
"D","08/14/2026","13",13176.54
"D","08/14/2026","14",14010.06
"D","08/14/2026","15",14736.2
"D","08/14/2026","16",15721.19
"D","08/14/2026","17",16948.95
"D","08/14/2026","18",17680.37
"D","08/14/2026","19",17636.55
"D","08/14/2026","20",17317.04
"D","08/14/2026","21",17062.77
"D","08/14/2026","22",16227.41
"D","08/14/2026","23",15076.82
"D","08/14/2026","24",13845.91
"D","08/15/2026","01",12828.81
"D","08/15/2026","02",12056.92
"D","08/15/2026","03",11792.09
"D","08/15/2026","04",11625.82
"D","08/15/2026","05",11534.99
"D","08/15/2026","06",11656.51
"D","08/15/2026","07",12175.43
"D","08/15/2026","08",11777.78
"D","08/15/2026","09",11210.19
"D","08/15/2026","10",10850.78
"D","08/15/2026","11",10822.13
"D","08/15/2026","12",11026.58
"D","08/15/2026","13",11376.0
"D","08/15/2026","14",11778.09
"D","08/15/2026","15",12234.09
"D","08/15/2026","16",13061.72
"D","08/15/2026","17",13767.94
"D","08/15/2026","18",15016.91
"D","08/15/2026","19",15933.93
"D","08/15/2026","20",15870.01
"D","08/15/2026","21",15499.77
"D","08/15/2026","22",14705.81
"D","08/15/2026","23",13730.15
"D","08/15/2026","24",12681.38
"D","08/16/2026","01",11948.89
"D","08/16/2026","02",11678.74
"D","08/16/2026","03",11327.57
"D","08/16/2026","04",11051.69
"D","08/16/2026","05",11144.44
"D","08/16/2026","06",11465.96
"D","08/16/2026","07",11457.16
"D","08/16/2026","08",11155.67
"D","08/16/2026","09",10807.62
"D","08/16/2026","10",10245.39
"D","08/16/2026","11",10183.57
"D","08/16/2026","12",10359.32
"D","08/16/2026","13",10562.08
"D","08/16/2026","14",11072.0
"D","08/16/2026","15",12189.75
"D","08/16/2026","16",13522.6
"D","08/16/2026","17",14751.05
"D","08/16/2026","18",15814.64
"D","08/16/2026","19",16454.4
"D","08/16/2026","20",16499.68
"D","08/16/2026","21",16337.17
"D","08/16/2026","22",15598.37
"D","08/16/2026","23",14613.84
"D","08/16/2026","24",13644.62
"D","08/17/2026","01",13143.62
"D","08/17/2026","02",13327.42
"D","08/17/2026","03",13285.62
"D","08/17/2026","04",13145.92
"D","08/17/2026","05",13215.35
"D","08/17/2026","06",13464.09
"D","08/17/2026","07",13595.96
"D","08/17/2026","08",14301.48
"D","08/17/2026","09",14783.57
"D","08/17/2026","10",14925.74
"D","08/17/2026","11",14935.49
"D","08/17/2026","12",15215.86
"D","08/17/2026","13",15254.11
"D","08/17/2026","14",15272.06
"D","08/17/2026","15",15373.46
"D","08/17/2026","16",15575.88
"D","08/17/2026","17",16057.97
"D","08/17/2026","18",16708.39
"D","08/17/2026","19",16926.22
"D","08/17/2026","20",16967.6
"D","08/17/2026","21",16891.24
"D","08/17/2026","22",16123.07
"D","08/17/2026","23",15031.86
"D","08/17/2026","24",13906.88
"D","08/18/2026","01",13151.51
"D","08/18/2026","02",13302.02
"D","08/18/2026","03",13375.55
"D","08/18/2026","04",13215.06
"D","08/18/2026","05",13321.17
"D","08/18/2026","06",13586.71
"D","08/18/2026","07",13765.9
"D","08/18/2026","08",14326.08
"D","08/18/2026","09",14614.32
"D","08/18/2026","10",14566.58
"D","08/18/2026","11",14663.38
"D","08/18/2026","12",14523.12
"D","08/18/2026","13",14555.74
"D","08/18/2026","14",14844.11
"D","08/18/2026","15",15363.59
"D","08/18/2026","16",16307.77
"D","08/18/2026","17",17490.98
"D","08/18/2026","18",18585.05
"D","08/18/2026","19",19137.86
"D","08/18/2026","20",18835.61
"D","08/18/2026","21",18485.32
"D","08/18/2026","22",17444.71
"D","08/18/2026","23",16082.62
"D","08/18/2026","24",14772.87
"D","08/19/2026","01",13899.94
"D","08/19/2026","02",13669.04
"D","08/19/2026","03",13643.15
"D","08/19/2026","04",13616.88
"D","08/19/2026","05",13865.34
"D","08/19/2026","06",13883.7
"D","08/19/2026","07",14146.94
"D","08/19/2026","08",14510.5
"D","08/19/2026","09",14398.08
"D","08/19/2026","10",14157.49
"D","08/19/2026","11",14003.0
"D","08/19/2026","12",14331.71
"D","08/19/2026","13",14792.0
"D","08/19/2026","14",15370.06
"D","08/19/2026","15",16131.98
"D","08/19/2026","16",17069.81
"D","08/19/2026","17",18207.94
"D","08/19/2026","18",19320.54
"D","08/19/2026","19",19642.61
"D","08/19/2026","20",19346.71
"D","08/19/2026","21",18919.32
"D","08/19/2026","22",17789.8
"D","08/19/2026","23",16379.6
"D","08/19/2026","24",15007.66
"T","744 lines"
